Gender,Income
Female,29096.0
Male,7001.0
Male,5538.0
Female,5939.0
Male,11300.0
Female,3000.0
Female,5020.0
Female,7500.0
Female,11071.0
Female,21100.0
Male,6000.0
Female,25167.0
Male,2100.0
Male,6808.0
Female,10000.0
Female,10491.0
Female,7500.0
Female,8166.0
Female,3259.0
Male,3641.0
Male,4203.0
Female,4083.0
Male,5332.0
Male,12625.0
Female,12000.0
Male,4472.0
Female,6666.0
Male,12300.0
Male,3484.0
Male,10195.0
Male,14582.0
Male,8000.0
Female,7500.0
Male,10500.0
Male,3146.0
Male,3088.0
Female,6700.0
Female,5000.0
Female,5451.0
Female,5000.0
Male,14400.0
Female,2600.0
Female,2700.0
Male,7916.0
Male,13089.0
Male,11158.0
Male,5648.0
Female,10500.0
Male,9600.0
Female,10416.0
Male,3300.0
Female,6000.0
Female,1440.0
Female,3811.0
Female,6916.0
Male,2125.0
Female,6500.0
Female,6910.0
Male,3922.0
Female,25000.0
Male,1746.0
Female,4300.0
Female,4666.0
Male,3033.0
Female,4004.0
Male,3333.0
Male,11873.0
Male,9494.0
Male,10154.0
Female,4900.0
Female,5416.0
Male,1599.0
Female,6600.0
Female,5416.0
Female,7000.0
Female,3900.0
Female,5000.0
Female,9604.0
Female,8900.0
Male,3771.0
Male,6400.0
Female,4000.0
Male,3333.0
Female,13198.0
Male,12769.0
Female,3500.0
Female,24616.0
Male,1416.0
Male,12500.0
Female,8500.0
Male,5000.0
Female,6800.0
Female,9342.0
Male,3477.0
Female,3325.0
Male,7084.0
Female,3530.0
Female,7100.0
Female,7750.0
Male,2900.0
Female,27200.0
Female,790.0
Male,3371.0
Male,6500.0
Female,2120.0
Male,6063.0
Male,4900.0
Female,37500.0
Female,6792.0
Male,7342.0
Male,15833.0
Female,29167.0
Male,5500.0
Male,9430.0
Male,2057.0
Male,1500.0
Female,17500.0
Female,8284.0
Male,12000.0
Female,5000.0
Male,7397.0
Male,12500.0
Male,8000.0
Male,2200.0
Male,10340.0
Male,3850.0
Female,8950.0
Female,6333.0
Male,5833.0
Male,5200.0
Female,3400.0
Female,4758.0
Female,10083.0
Male,3200.0
Male,9100.0
Male,4635.0
Male,3000.0
Female,5200.0
Male,3000.0
Female,4800.0
Female,10832.0
Male,13000.0
Male,4000.0
Male,6500.0
Male,2800.0
Male,11250.0
Male,14275.0
Female,7508.0
